gene,classification
ADAM5,protein
ADAM7,protein
ADAM8,protein
ADAM9,protein
ADAMDEC1,protein
ADAMTS1,protein
ADAMTS10,protein
ADAMTS12,protein
ADAMTS13,protein
ADAMTS14,protein
ADAMTS15,protein
ADAMTS16,protein
ADAMTS17,protein
ADAMTS18,protein
ADAMTS19,protein
ADAMTS2,protein
ADAMTS20,protein
ADAMTS3,protein
ADAMTS4,protein
ADAMTS5,protein
ADAMTS6,protein
ADAMTS7,protein
ADAMTS8,protein
ADAMTS9,protein
ADAMTSL1,protein
ADAMTSL2,protein
ADAMTSL3,protein
ADAMTSL4,protein
ADAMTSL4-AS1,protein
ADAMTSL5,protein
ADAP1,protein
ADAP2,protein
ADAR,protein
ADARB1,protein
ADARB2,protein
ADARB2-AS1,protein
ADAT1,protein
ADAT2,protein
ADAT3,protein
ADCK1,protein
ADCK2,protein
ADCK5,protein
ADCY1,protein
ADCY10,protein
ADCY2,protein
ADCY3,protein
ADCY4,protein
ADCY5,protein
ADCY6,protein
ADCY7,protein
ADCY8,protein
ADCY9,protein
ADCYAP1,protein
ADCYAP1R1,protein
ADD1,protein
ADD2,protein
ADD3,protein
ADGB,protein
ADGRA1,protein
ADGRA2,protein
ADGRA3,protein
ADGRB1,protein
ADGRB2,protein
ADGRB3,protein
ADGRD1,protein
ADGRD2,protein
ADGRE1,protein
ADGRE2,protein
ADGRE3,protein
ADGRE4P,protein
ADGRE5,protein
ADGRF1,protein
ADGRF2,protein
ADGRF3,protein
ADGRF4,protein
ADGRF5,protein
ADGRG1,protein
ADGRG2,protein
ADGRG3,protein
ADGRG4,protein
ADGRG5,protein
ADGRG6,protein
ADGRG7,protein
ADGRL1,protein
ADGRL2,protein
ADGRL3,protein
ADGRL4,protein
ADGRV1,protein
ADH1A,protein
ADH1B,protein
ADH1C,protein
ADH4,protein
ADH5,protein
ADH6,protein
ADH7,protein
ADHFE1,protein
ADI1,protein
ADIG,protein
ADIPOQ,protein
ADIPOR1,protein
ADIPOR2,protein
ADIRF,protein
ADK,protein
ADM,protein
ADM2,protein
ADM5,protein
ADNP,protein
ADNP2,protein
ADO,protein
ADORA1,protein
ADORA2A,protein
ADORA2A-AS1,protein
ADORA2B,protein
ADORA3,protein
ADPGK,protein
ADPRH,protein
ADPRHL1,protein
ADPRM,protein
ADPRS,protein
ADRA1A,protein
ADRA1B,protein
ADRA1D,protein
ADRA2A,protein
ADRA2B,protein
ADRA2C,protein
ADRB1,protein
ADRB2,protein
ADRB3,protein
ADRM1,protein
ADSL,protein
ADSS1,protein
ADSS2,protein
ADTRP,protein
AEBP1,protein
AEBP2,protein
AEN,protein
AFAP1,protein
AFAP1L1,protein
AFAP1L2,protein
AFDN,protein
AFDN-DT,protein
AFF1,protein
AFF2,protein
AFF3,protein
AFF4,protein
AFG1L,protein
AFG3L2,protein
AFM,protein
AFMID,protein
AFP,protein
AFTPH,protein
AGA,protein
AGAP1,protein
AGAP11,protein
AGAP2,protein
AGAP3,protein
AGAP4,protein
AGAP5,protein
AGAP6,protein
AGAP7P,protein
AGAP9,protein
AGBL1,protein
AGBL2,protein
AGBL3,protein
AGBL4,protein
AGBL5,protein
AGER,protein
AGFG1,protein
AGFG2,protein
AGGF1,protein
AGK,protein
AGL,protein
AGMAT,protein
AGMO,protein
AGO1,protein
AGO2,protein
AGO3,protein
AGO4,protein
AGPAT1,protein
AGPAT2,protein
AGPAT3,protein
AGPAT4,protein
AGPAT5,protein
AGPS,protein
AGR2,protein
AGR3,protein
AGRN,protein
AGRP,protein
AGT,protein
AGTPBP1,protein
AGTR1,protein
AGTR2,protein
AGTRAP,protein
AGXT,protein
AGXT2,protein
AHCTF1,protein
AHCY,protein
AHCYL1,protein
AHCYL2,protein
AHDC1,protein
AHI1,protein
AHNAK,protein
AHNAK2,protein
AHR,protein
AHRR,protein
AHSA1,protein
AHSA2P,protein
AHSG,protein
AHSP,protein
AICDA,protein
AIDA,protein
AIF1,protein
AIF1L,protein
AIFM1,protein
AIFM2,protein
AIFM3,protein
AIG1,protein
AIM2,protein
AIMP1,protein
AIMP2,protein
AIP,protein
AIPL1,protein
AIRE,protein
AJAP1,protein
AJM1,protein
AJUBA,protein
AK1,protein
AK2,protein
AK3,protein
AK4,protein
AK5,protein
AK6,protein
AK7,protein
AK8,protein
AK9,protein
AKAIN1,protein
AKAP1,protein
AKAP10,protein
AKAP11,protein
AKAP12,protein
AKAP13,protein
AKAP14,protein
AKAP17A,protein
AKAP3,protein
AKAP4,protein
AKAP5,protein
AKAP6,protein
AKAP7,protein
AKAP8,protein
AKAP8L,protein
AKAP9,protein
AKIP1,protein
AKIRIN1,protein
AKIRIN2,protein
AKNA,protein
AKNAD1,protein
AKR1A1,protein
AKR1B1,protein
AKR1B10,protein
AKR1B15,protein
AKR1C1,protein
AKR1C2,protein
AKR1C3,protein
AKR1C4,protein
AKR1C8P,protein
AKR1D1,protein
AKR1E2,protein
AKR7A2,protein
AKR7A3,protein
AKR7L,protein
AKT1,protein
AKT1S1,protein
AKT2,protein
AKT3,protein
AKTIP,protein
ALAD,protein
ALAS1,protein
ALAS2,protein
ALB,protein
ALCAM,protein
ALDH16A1,protein
ALDH18A1,protein
ALDH1A1,protein
ALDH1A2,protein
ALDH1A3,protein
ALDH1B1,protein
ALDH1L1,protein
ALDH1L2,protein
ALDH2,protein
ALDH3A1,protein
ALDH3A2,protein
ALDH3B1,protein
ALDH3B2,protein
ALDH4A1,protein
ALDH5A1,protein
ALDH6A1,protein
ALDH7A1,protein
ALDH8A1,protein
ALDH9A1,protein
ALDOA,protein
ALDOB,protein
ALDOC,protein
ALG1,protein
ALG10,protein
ALG10B,protein
ALG11,protein
ALG12,protein
ALG13,protein
ALG14,protein
ALG1L2,protein
ALG2,protein
ALG3,protein
ALG5,protein
ALG6,protein
ALG8,protein
ALG9,protein
ALK,protein
ALKAL1,protein
ALKAL2,protein
ALKBH1,protein
ALKBH2,protein
ALKBH3,protein
ALKBH4,protein
ALKBH5,protein
ALKBH6,protein
ALKBH7,protein
ALKBH8,protein
ALLC,protein
ALMS1,protein
ALOX12,protein
ALOX12B,protein
ALOX15,protein
ALOX15B,protein
ALOX5,protein
ALOX5AP,protein
ALOXE3,protein
ALPG,protein
ALPI,protein
ALPK1,protein
ALPK2,protein
ALPK3,protein
ALPL,protein
ALPP,protein
ALS2,protein
ALS2CL,protein
ALX1,protein
ALX3,protein
ALX4,protein
ALYREF,protein
AMACR,protein
AMBN,protein
AMBP,protein
AMBRA1,protein
AMD1,protein
AMDHD1,protein
AMDHD2,protein
AMELX,protein
AMELY,protein
AMER1,protein
AMER2,protein
AMER3,protein
AMFR,protein
AMH,protein
AMHR2,protein
AMIGO1,protein
AMIGO2,protein
AMIGO3,protein
AMMECR1,protein
AMMECR1L,protein
AMN,protein
AMN1,protein
AMOT,protein
AMOTL1,protein
AMOTL2,protein
AMPD1,protein
AMPD2,protein
AMPD3,protein
AMPH,protein
AMT,protein
AMTN,protein
AMY1A,protein
AMY1B,protein
AMY1C,protein
AMY2A,protein
AMY2B,protein
AMZ1,protein
AMZ2,protein
ANAPC1,protein
ANAPC10,protein
ANAPC11,protein
ANAPC13,protein
ANAPC15,protein
ANAPC16,protein
ANAPC2,protein
ANAPC4,protein
ANAPC5,protein
ANAPC7,protein
ANG,protein
ANGEL1,protein
ANGEL2,protein
ANGPT1,protein
ANGPT2,protein
ANGPT4,protein
ANGPTL1,protein
ANGPTL2,protein
ANGPTL3,protein
ANGPTL4,protein
ANGPTL5,protein
ANGPTL6,protein
ANGPTL7,protein
ANGPTL8,protein
ANHX,protein
ANK1,protein
ANK2,protein
ANK3,protein
ANKAR,protein
ANKDD1A,protein
ANKDD1B,protein
ANKEF1,protein
ANKFN1,protein
ANKFY1,protein
ANKH,protein
ANKHD1,protein
ANKIB1,protein
ANKK1,protein
ANKLE1,protein
ANKLE2,protein
ANKMY1,protein
ANKMY2,protein
ANKRA2,protein
ANKRD1,protein
ANKRD10,protein
ANKRD11,protein
ANKRD12,protein
ANKRD13A,protein
ANKRD13B,protein
ANKRD13C,protein
ANKRD13D,protein
ANKRD16,protein
ANKRD17,protein
ANKRD18A,protein
ANKRD18B,protein
ANKRD19P,protein
ANKRD2,protein
ANKRD20A1,protein
ANKRD20A2P,protein
ANKRD20A3P,protein
ANKRD20A4P,protein
ANKRD20A5P,protein
ANKRD20A8P,protein
ANKRD22,protein
ANKRD23,protein
ANKRD24,protein
ANKRD26,protein
ANKRD26P1,protein
ANKRD27,protein
ANKRD28,protein
ANKRD29,protein
ANKRD30A,protein
ANKRD30B,protein
ANKRD30BL,protein
ANKRD31,protein
ANKRD33,protein
ANKRD33B,protein
ANKRD34A,protein
ANKRD34B,protein
ANKRD34C,protein
ANKRD35,protein
ANKRD36,protein
ANKRD36B,protein
ANKRD36BP1,protein
ANKRD36C,protein
ANKRD37,protein
ANKRD39,protein
ANKRD40,protein
ANKRD40CL,protein
ANKRD42,protein
ANKRD44,protein
ANKRD45,protein
ANKRD46,protein
ANKRD49,protein
ANKRD50,protein
ANKRD52,protein
ANKRD53,protein
ANKRD54,protein
ANKRD55,protein
ANKRD6,protein
ANKRD60,protein
ANKRD61,protein
ANKRD62,protein
ANKRD63,protein
ANKRD65,protein
ANKRD66,protein
ANKRD7,protein
ANKRD9,protein
ANKS1A,protein
ANKS1B,protein
ANKS3,protein
ANKS4B,protein
ANKS6,protein
ANKUB1,protein
ANKZF1,protein
ANLN,protein
ANO1,protein
ANO10,protein
ANO2,protein
ANO3,protein
ANO4,protein
ANO5,protein
ANO6,protein
ANO7,protein
ANO8,protein
ANO9,protein
ANOS1,protein
ANP32A,protein
ANP32B,protein
ANP32D,protein
ANP32E,protein
ANPEP,protein
ANTKMT,protein
ANTXR1,protein
ANTXR2,protein
ANTXRL,protein
ANXA1,protein
ANXA10,protein
ANXA11,protein
ANXA13,protein
ANXA2,protein
ANXA2P2,protein
ANXA2R,protein
ANXA3,protein
ANXA4,protein
ANXA5,protein
ANXA6,protein
ANXA7,protein
ANXA8,protein
ANXA8L1,protein
ANXA9,protein
AOAH,protein
AOC1,protein
AOC2,protein
AOC3,protein
AOPEP,protein
AOX1,protein
AP1AR,protein
AP1B1,protein
AP1G1,protein
AP1G2,protein
AP1M1,protein
AP1M2,protein
AP1S1,protein
AP1S2,protein
AP1S3,protein
AP2A1,protein
AP2A2,protein
AP2B1,protein
AP2M1,protein
AP2S1,protein
AP3B1,protein
AP3B2,protein
AP3D1,protein
AP3M1,protein
AP3M2,protein
AP3S1,protein
AP3S2,protein
AP4B1,protein
AP4E1,protein
AP4M1,protein
AP4S1,protein
AP5B1,protein
AP5M1,protein
AP5S1,protein
AP5Z1,protein
APAF1,protein
APBA1,protein
APBA2,protein
APBA3,protein
APBB1,protein
APBB1IP,protein
APBB2,protein
APBB3,protein
APC,protein
APC2,protein
APCDD1,protein
APCDD1L,protein
APCS,protein
APEH,protein
APELA,protein
APEX1,protein
APEX2,protein
APH1A,protein
APH1B,protein
API5,protein
APIP,protein
APLF,protein
APLN,protein
APLNR,protein
APLP1,protein
APLP2,protein
APMAP,protein
APOA1,protein
APOA2,protein
APOA4,protein
APOA5,protein
APOB,protein
APOBEC1,protein
APOBEC2,protein
APOBEC3A,protein
APOBEC3B,protein
APOBEC3C,protein
APOBEC3D,protein
APOBEC3F,protein
APOBEC3G,protein
APOBEC3H,protein
APOBEC4,protein
APOBR,protein
APOC1,protein
APOC2,protein
APOC3,protein
APOC4,protein
APOD,protein
APOE,protein
APOF,protein
APOH,protein
APOL1,protein
APOL2,protein
APOL3,protein
APOL4,protein
APOL5,protein
APOL6,protein
APOLD1,protein
APOM,protein
APOO,protein
APOOL,protein
APP,protein
APPBP2,protein
APPL1,protein
APPL2,protein
APRT,protein
APTX,protein
AQP1,protein
AQP10,protein
AQP11,protein
AQP12A,protein
AQP12B,protein
AQP2,protein
AQP3,protein
AQP4,protein
AQP5,protein
AQP6,protein
AQP7,protein
AQP7P3,protein
AQP8,protein
AQP9,protein
AQR,protein
AR,protein
ARAF,protein
ARAP1,protein
ARAP2,protein
ARAP3,protein
ARC,protein
ARCN1,protein
AREG,protein
AREL1,protein
ARF1,protein
ARF1P2,protein
ARF3,protein
ARF4,protein
ARF5,protein
ARF6,protein
ARFGAP1,protein
ARFGAP2,protein
ARFGAP3,protein
ARFGEF1,protein
ARFGEF2,protein
ARFGEF3,protein
ARFIP1,protein
ARFIP2,protein
ARFRP1,protein
ARG1,protein
ARG2,protein
ARGFX,protein
ARGLU1,protein
ARHGAP1,protein
ARHGAP10,protein
ARHGAP11A,protein
ARHGAP11B,protein
ARHGAP12,protein
ARHGAP15,protein
ARHGAP17,protein
ARHGAP18,protein
ARHGAP19,protein
ARHGAP20,protein
ARHGAP21,protein
ARHGAP22,protein
ARHGAP23,protein
ARHGAP24,protein
ARHGAP25,protein
ARHGAP26,protein
ARHGAP27,protein
ARHGAP28,protein
ARHGAP29,protein
ARHGAP30,protein
ARHGAP31,protein
ARHGAP32,protein
ARHGAP33,protein
ARHGAP35,protein
ARHGAP36,protein
ARHGAP39,protein
ARHGAP4,protein
ARHGAP40,protein
ARHGAP42,protein
ARHGAP44,protein
ARHGAP45,protein
ARHGAP5,protein
ARHGAP5-AS1,protein
ARHGAP6,protein
ARHGAP8,protein
ARHGAP9,protein
ARHGDIA,protein
ARHGDIB,protein
ARHGDIG,protein
ARHGEF1,protein
ARHGEF10,protein
ARHGEF10L,protein
ARHGEF11,protein
ARHGEF12,protein
ARHGEF15,protein
ARHGEF16,protein
ARHGEF17,protein
ARHGEF18,protein
ARHGEF19,protein
ARHGEF2,protein
ARHGEF25,protein
ARHGEF26,protein
ARHGEF28,protein
ARHGEF3,protein
ARHGEF33,protein
ARHGEF35,protein
ARHGEF37,protein
ARHGEF38,protein
ARHGEF39,protein
ARHGEF4,protein
ARHGEF40,protein
ARHGEF5,protein
ARHGEF6,protein
ARHGEF7,protein
ARHGEF9,protein
ARID1A,protein
ARID1B,protein
ARID2,protein
ARID3A,protein
ARID3B,protein
ARID3C,protein
ARID4A,protein
ARID4B,protein
ARID5A,protein
ARID5B,protein
ARIH1,protein
ARIH2,protein
ARIH2OS,protein
ARL1,protein
ARL10,protein
ARL11,protein
ARL13A,protein
ARL13B,protein
ARL14,protein
ARL14EP,protein
ARL14EPL,protein
ARL15,protein
ARL16,protein
ARL17A,protein
ARL17B,protein
ARL2,protein
ARL2BP,protein
ARL3,protein
ARL4A,protein
ARL4C,protein
ARL4D,protein
ARL5A,protein
ARL5B,protein
ARL5C,protein
ARL6,protein
ARL6IP1,protein
ARL6IP4,protein
ARL6IP5,protein
ARL6IP6,protein
ARL8A,protein
ARL8B,protein
ARL9,protein
ARMC1,protein
ARMC10,protein
ARMC12,protein
ARMC2,protein
ARMC3,protein
ARMC4,protein
ARMC5,protein
ARMC6,protein
ARMC7,protein
ARMC8,protein
ARMC9,protein
ARMCX1,protein
ARMCX2,protein
ARMCX3,protein
ARMCX4,protein
ARMCX5,protein
ARMCX6,protein
ARMH1,protein
ARMH2,protein
ARMH3,protein
ARMH4,protein
ARMS2,protein
ARMT1,protein
ARNT,protein
ARNT2,protein
ARNTL,protein
ARNTL2,protein
ARPC1A,protein
ARPC1B,protein
ARPC2,protein
ARPC3,protein
ARPC4,protein
ARPC5,protein
ARPC5L,protein
ARPIN,protein
ARPP19,protein
ARPP21,protein
ARR3,protein
ARRB1,protein
ARRB2,protein
ARRDC1,protein
ARRDC1-AS1,protein
ARRDC2,protein
ARRDC3,protein
ARRDC4,protein
ARRDC5,protein
ARSA,protein
ARSB,protein
ARSD,protein
ARSF,protein
ARSG,protein
ARSH,protein
ARSI,protein
ARSJ,protein
ARSK,protein
ARSL,protein
ART1,protein
ART3,protein
ART4,protein
ART5,protein
ARTN,protein
ARV1,protein
ARVCF,protein
ARX,protein
AS3MT,protein
ASAH1,protein
ASAH2,protein
ASAH2B,protein
ASAP1,protein
ASAP2,protein
ASAP3,protein
ASB1,protein
ASB10,protein
ASB11,protein
ASB12,protein
ASB13,protein
ASB14,protein
ASB15,protein
ASB16,protein
ASB16-AS1,protein
ASB17,protein
ASB18,protein
ASB2,protein
ASB3,protein
ASB4,protein
ASB5,protein
ASB6,protein
ASB7,protein
ASB8,protein
ASB9,protein
ASCC1,protein
ASCC2,protein
ASCC3,protein
ASCL1,protein
ASCL2,protein
ASCL3,protein
ASCL4,protein
ASCL5,protein
ASDURF,protein
ASF1A,protein
ASF1B,protein
ASGR1,protein
ASGR2,protein
ASH1L,protein
ASH2L,protein
ASIC1,protein
ASIC2,protein
ASIC3,protein
ASIC4,protein
ASIC5,protein
ASIP,protein
ASL,protein
ASMT,protein
ASMTL,protein
ASNS,protein
ASNSD1,protein
ASPA,protein
ASPDH,protein
ASPG,protein
ASPH,protein
ASPHD1,protein
ASPHD2,protein
ASPM,protein
ASPN,protein
ASPRV1,protein
ASPSCR1,protein
ASRGL1,protein
ASS1,protein
ASTE1,protein
ASTL,protein
ASTN1,protein
ASTN2,protein
ASXL1,protein
ASXL2,protein
ASXL3,protein
ASZ1,protein
ATAD1,protein
ATAD2,protein
ATAD2B,protein
ATAD3A,protein
ATAD3B,protein
ATAD3C,protein
ATAD5,protein
ATAT1,protein
ATCAY,protein
ATE1,protein
ATF1,protein
ATF2,protein
ATF3,protein
ATF4,protein
ATF5,protein
ATF6,protein
ATF6B,protein
ATF7,protein
ATF7IP,protein
ATF7IP2,protein
ATG10,protein
ATG101,protein
ATG12,protein
ATG13,protein
ATG14,protein
ATG16L1,protein
ATG16L2,protein
ATG2A,protein
ATG2B,protein
ATG3,protein
ATG4A,protein
ATG4B,protein
ATG4C,protein
ATG4D,protein
ATG5,protein
ATG7,protein
ATG9A,protein
ATG9B,protein
ATIC,protein
ATL1,protein
ATL2,protein
ATL3,protein
ATM,protein
ATMIN,protein
ATN1,protein
ATOH1,protein
ATOH7,protein
ATOH8,protein
ATOX1,protein
ATP10A,protein
ATP10B,protein
ATP10D,protein
ATP11A,protein
ATP11AUN,protein
ATP11B,protein
ATP11C,protein
ATP12A,protein
ATP13A1,protein
ATP13A2,protein
ATP13A3,protein
ATP13A4,protein
ATP13A5,protein
ATP1A1,protein
ATP1A1-AS1,protein
ATP1A2,protein
ATP1A3,protein
ATP1A4,protein
ATP1B1,protein
ATP1B2,protein
ATP1B3,protein
ATP1B4,protein
ATP23,protein
ATP2A1,protein
ATP2A2,protein
ATP2A3,protein
ATP2B1,protein
ATP2B2,protein
ATP2B3,protein
ATP2B4,protein
ATP2C1,protein
ATP2C2,protein
ATP4A,protein
ATP4B,protein
ATP5F1A,protein
ATP5F1B,protein
ATP5F1C,protein
ATP5F1D,protein
ATP5F1E,protein
ATP5F1EP2,protein
ATP5IF1,protein
ATP5MC1,protein
ATP5MC2,protein
ATP5MC3,protein
ATP5MD,protein
ATP5ME,protein
ATP5MF,protein
ATP5MG,protein
ATP5MGL,protein
ATP5MPL,protein
ATP5PB,protein
ATP5PD,protein
ATP5PF,protein
ATP5PO,protein
ATP6AP1,protein
ATP6AP1L,protein
ATP6AP2,protein
ATP6V0A1,protein
ATP6V0A2,protein
ATP6V0A4,protein
ATP6V0B,protein
ATP6V0C,protein
ATP6V0D1,protein
ATP6V0D2,protein
ATP6V0E1,protein
ATP6V0E2,protein
ATP6V1A,protein
ATP6V1B1,protein
ATP6V1B2,protein
ATP6V1C1,protein
ATP6V1C2,protein
ATP6V1D,protein
ATP6V1E1,protein
ATP6V1E2,protein
ATP6V1F,protein
ATP6V1FNB,protein
ATP6V1G1,protein
ATP6V1G2,protein
ATP6V1G3,protein
ATP6V1H,protein
ATP7A,protein
ATP7B,protein
ATP8A1,protein
ATP8A2,protein
ATP8B1,protein
ATP8B2,protein
ATP8B3,protein
ATP8B4,protein
ATP9A,protein
ATP9B,protein
ATPAF1,protein
ATPAF2,protein
ATPSCKMT,protein
ATR,protein
ATRAID,protein
ATRIP,protein
ATRN,protein
ATRNL1,protein
ATRX,protein
ATXN1,protein
ATXN10,protein
ATXN1L,protein
ATXN2,protein
ATXN2L,protein
ATXN3,protein
ATXN3L,protein
ATXN7,protein
ATXN7L1,protein
ATXN7L2,protein
ATXN7L3,protein
ATXN7L3B,protein
ATXN8OS,protein
AUH,protein
AUNIP,protein
AUP1,protein
AURKA,protein
AURKAIP1,protein
AURKB,protein
AURKC,protein
AUTS2,protein
AVEN,protein
AVIL,protein
AVL9,protein
AVP,protein
AVPI1,protein
AVPR1A,protein
AVPR1B,protein
AVPR2,protein
AWAT1,protein
AWAT2,protein
AXDND1,protein
AXIN1,protein
AXIN2,protein
AXL,protein
AZGP1,protein
AZI2,protein
AZIN1,protein
AZIN2,protein
AZU1,protein
B2M,protein
B3GALNT1,protein
B3GALNT2,protein
B3GALT1,protein
B3GALT2,protein
B3GALT4,protein
B3GALT5,protein
B3GALT5-AS1,protein
B3GALT6,protein
B3GAT1,protein
B3GAT2,protein
B3GAT3,protein
B3GLCT,protein
B3GNT10,protein
B3GNT2,protein
B3GNT3,protein
B3GNT4,protein
B3GNT5,protein
B3GNT6,protein
B3GNT7,protein
B3GNT8,protein
B3GNT9,protein
B3GNTL1,protein
B4GALNT1,protein
B4GALNT2,protein
B4GALNT3,protein
B4GALNT4,protein
B4GALT1,protein
B4GALT2,protein
B4GALT3,protein
B4GALT4,protein
B4GALT5,protein
B4GALT6,protein
B4GALT7,protein
B4GAT1,protein
B9D1,protein
B9D2,protein
BAALC,protein
BAALC-AS2,protein
BAAT,protein
BABAM1,protein
BABAM2,protein
BACE1,protein
BACE2,protein
BACH1,protein
BACH2,protein
BAD,protein
BAG1,protein
BAG2,protein
BAG3,protein
BAG4,protein
BAG5,protein
BAG6,protein
BAGE2,protein
BAHCC1,protein
BAHD1,protein
BAIAP2,protein
BAIAP2L1,protein
BAIAP2L2,protein
BAIAP3,protein
BAK1,protein
BAMBI,protein
BANF1,protein
BANF2,protein
BANK1,protein
BANP,protein
BAP1,protein
BARD1,protein
BARHL1,protein
BARHL2,protein
BARX1,protein
BARX2,protein
BASP1,protein
BATF,protein
BATF2,protein
BATF3,protein
BAX,protein
BAZ1A,protein
BAZ1B,protein
BAZ2A,protein
BAZ2B,protein
BBC3,protein
BBIP1,protein
BBOF1,protein
BBOX1,protein
BBS1,protein
BBS10,protein
BBS12,protein
BBS2,protein
BBS4,protein
BBS5,protein
BBS7,protein
BBS9,protein
BBX,protein
BCAM,protein
BCAN,protein
BCAP29,protein
BCAP31,protein
BCAR1,protein
BCAR3,protein
BCAS1,protein
BCAS2,protein
BCAS3,protein
BCAS4,protein
BCAT1,protein
BCAT2,protein
BCCIP,protein
BCDIN3D,protein
BCHE,protein
BCKDHA,protein
BCKDHB,protein
BCKDK,protein
BCL10,protein
BCL11A,protein
BCL11B,protein
BCL2,protein
BCL2A1,protein
BCL2L1,protein
BCL2L10,protein
BCL2L11,protein
BCL2L12,protein
BCL2L13,protein
BCL2L14,protein
BCL2L15,protein
BCL2L2,protein
BCL3,protein
BCL6,protein
BCL6B,protein
BCL7A,protein
BCL7B,protein
