dataset,datasetIteration,model,orientation,trainingType,val
all,6,NAS14NN,second,allDatasets,1.1242694854736328
all,6,NAS14NN,second,justTargetDataset,1.1243717670440674
brca,7,NAS14NN,first,allDatasets,0.8089797496795654
brca,7,NAS14NN,first,justTargetDataset,1.1790639162063599
brca,7,NAS14NN,second,allDatasets,0.9000577330589294
brca,7,NAS14NN,second,justTargetDataset,1.3106368780136108
ccrcc,7,NAS14NN,first,allDatasets,0.6630017161369324
ccrcc,7,NAS14NN,first,justTargetDataset,0.9853663444519043
ccrcc,7,NAS14NN,second,allDatasets,0.7018735408782959
ccrcc,7,NAS14NN,second,justTargetDataset,1.037475347518921
coad,7,NAS14NN,first,allDatasets,1.9848134517669678
coad,7,NAS14NN,first,justTargetDataset,2.3850107192993164
coad,7,NAS14NN,second,allDatasets,4.879137992858887
coad,7,NAS14NN,second,justTargetDataset,4.863608360290527
gbm,7,NAS14NN,first,allDatasets,0.8067875504493713
gbm,7,NAS14NN,first,justTargetDataset,1.1754770278930664
gbm,7,NAS14NN,second,allDatasets,0.8722544312477112
gbm,7,NAS14NN,second,justTargetDataset,1.3027889728546143
hnscc,7,NAS14NN,first,allDatasets,0.677509069442749
hnscc,7,NAS14NN,first,justTargetDataset,1.0668898820877075
hnscc,7,NAS14NN,second,allDatasets,0.7333015203475952
hnscc,7,NAS14NN,second,justTargetDataset,1.1282687187194824
lscc,7,NAS14NN,first,allDatasets,0.5434412360191345
lscc,7,NAS14NN,first,justTargetDataset,0.9178854823112488
lscc,7,NAS14NN,second,allDatasets,0.5838138461112976
lscc,7,NAS14NN,second,justTargetDataset,1.0183106660842896
luad,7,NAS14NN,first,allDatasets,0.7093489170074463
luad,7,NAS14NN,first,justTargetDataset,1.1140884160995483
luad,7,NAS14NN,second,allDatasets,0.835213303565979
luad,7,NAS14NN,second,justTargetDataset,1.1634997129440308
ov,7,NAS14NN,first,allDatasets,0.9954390525817871
ov,7,NAS14NN,first,justTargetDataset,1.4068623781204224
ov,7,NAS14NN,second,allDatasets,1.0042121410369873
ov,7,NAS14NN,second,justTargetDataset,1.5365322828292847
pdac,7,NAS14NN,first,allDatasets,1.668076515197754
pdac,7,NAS14NN,first,justTargetDataset,2.335993528366089
pdac,7,NAS14NN,second,allDatasets,0.9700198769569397
pdac,7,NAS14NN,second,justTargetDataset,1.3144629001617432
all,7,NAS14NN,first,allDatasets,0.9841561317443848
all,7,NAS14NN,first,justTargetDataset,0.9836905598640442
all,7,NAS14NN,second,allDatasets,1.1456408500671387
all,7,NAS14NN,second,justTargetDataset,1.1447561979293823
ccrcc,8,NAS14NN,first,allDatasets,0.7623550891876221
ccrcc,8,NAS14NN,first,justTargetDataset,1.0575590133666992
ccrcc,8,NAS14NN,second,allDatasets,0.6050136089324951
ccrcc,8,NAS14NN,second,justTargetDataset,0.9319248795509338
coad,8,NAS14NN,first,allDatasets,4.6402668952941895
coad,8,NAS14NN,first,justTargetDataset,4.635491847991943
coad,8,NAS14NN,second,allDatasets,3.9218835830688477
coad,8,NAS14NN,second,justTargetDataset,4.096114158630371
hnscc,8,NAS14NN,first,allDatasets,0.7331552505493164
hnscc,8,NAS14NN,first,justTargetDataset,2.344074010848999
hnscc,8,NAS14NN,second,allDatasets,0.752941906452179
hnscc,8,NAS14NN,second,justTargetDataset,1.1786506175994873
lscc,8,NAS14NN,first,allDatasets,0.5031540393829346
lscc,8,NAS14NN,first,justTargetDataset,0.8947053551673889
lscc,8,NAS14NN,second,allDatasets,0.5897364020347595
lscc,8,NAS14NN,second,justTargetDataset,0.9791857600212097
luad,8,NAS14NN,first,allDatasets,0.9331177473068237
luad,8,NAS14NN,first,justTargetDataset,1.251237392425537
luad,8,NAS14NN,second,allDatasets,0.7935431599617004
luad,8,NAS14NN,second,justTargetDataset,1.2724888324737549
ov,8,NAS14NN,first,allDatasets,0.9938749074935913
ov,8,NAS14NN,first,justTargetDataset,1.5217498540878296
ov,8,NAS14NN,second,allDatasets,1.9414591789245605
ov,8,NAS14NN,second,justTargetDataset,2.517770767211914
pdac,8,NAS14NN,first,allDatasets,1.3375799655914307
pdac,8,NAS14NN,first,justTargetDataset,1.6532236337661743
pdac,8,NAS14NN,second,allDatasets,1.2225334644317627
pdac,8,NAS14NN,second,justTargetDataset,1.5280896425247192
all,8,NAS14NN,first,allDatasets,1.1507999897003174
all,8,NAS14NN,first,justTargetDataset,1.1505006551742554
all,8,NAS14NN,second,allDatasets,1.1745661497116089
all,8,NAS14NN,second,justTargetDataset,1.1748100519180298
brca,9,NAS14NN,first,allDatasets,0.8287091851234436
brca,9,NAS14NN,first,justTargetDataset,1.231609582901001
brca,9,NAS14NN,second,allDatasets,0.8878819942474365
brca,9,NAS14NN,second,justTargetDataset,1.3264445066452026
ccrcc,9,NAS14NN,first,allDatasets,0.682416558265686
ccrcc,9,NAS14NN,first,justTargetDataset,1.0161446332931519
ccrcc,9,NAS14NN,second,allDatasets,0.6908422112464905
ccrcc,9,NAS14NN,second,justTargetDataset,0.9970317482948303
coad,9,NAS14NN,first,allDatasets,1.463324785232544
coad,9,NAS14NN,first,justTargetDataset,1.6887049674987793
coad,9,NAS14NN,second,allDatasets,2.3274307250976562
coad,9,NAS14NN,second,justTargetDataset,2.4752197265625
gbm,9,NAS14NN,first,allDatasets,0.8920953273773193
gbm,9,NAS14NN,first,justTargetDataset,1.354254126548767
gbm,9,NAS14NN,second,allDatasets,0.8509365320205688
gbm,9,NAS14NN,second,justTargetDataset,1.2882710695266724
hnscc,9,NAS14NN,first,allDatasets,0.7338008284568787
hnscc,9,NAS14NN,first,justTargetDataset,1.1509459018707275
hnscc,9,NAS14NN,second,allDatasets,0.6779442429542542
hnscc,9,NAS14NN,second,justTargetDataset,1.0314751863479614
lscc,9,NAS14NN,first,allDatasets,0.4943905472755432
lscc,9,NAS14NN,first,justTargetDataset,0.8653349280357361
lscc,9,NAS14NN,second,allDatasets,0.5831742882728577
lscc,9,NAS14NN,second,justTargetDataset,0.9593454003334045
luad,9,NAS14NN,first,allDatasets,0.8783460855484009
luad,9,NAS14NN,first,justTargetDataset,1.3997862339019775
luad,9,NAS14NN,second,allDatasets,0.9499090909957886
luad,9,NAS14NN,second,justTargetDataset,1.2987678050994873
ov,9,NAS14NN,first,allDatasets,1.0058836936950684
ov,9,NAS14NN,first,justTargetDataset,1.4742900133132935
ov,9,NAS14NN,second,allDatasets,1.0274529457092285
ov,9,NAS14NN,second,justTargetDataset,1.4391416311264038
pdac,9,NAS14NN,first,allDatasets,1.2919518947601318
pdac,9,NAS14NN,first,justTargetDataset,1.6036028861999512
pdac,9,NAS14NN,second,allDatasets,2.3436007499694824
pdac,9,NAS14NN,second,justTargetDataset,2.3917338848114014
all,9,NAS14NN,first,allDatasets,0.8986561298370361
all,9,NAS14NN,first,justTargetDataset,0.8991893529891968
all,9,NAS14NN,second,allDatasets,1.0857810974121094
all,9,NAS14NN,second,justTargetDataset,1.0861366987228394
brca,10,NAS14NN,first,allDatasets,0.8546303510665894
brca,10,NAS14NN,first,justTargetDataset,1.215001106262207
coad,10,NAS14NN,first,allDatasets,1.4907828569412231
gbm,10,NAS14NN,first,allDatasets,0.8426520228385925
gbm,10,NAS14NN,first,justTargetDataset,1.289813756942749
gbm,10,NAS14NN,second,allDatasets,0.8499100208282471
gbm,10,NAS14NN,second,justTargetDataset,1.2680695056915283
hnscc,10,NAS14NN,first,allDatasets,0.9308826327323914
hnscc,10,NAS14NN,first,justTargetDataset,1.3551528453826904
hnscc,10,NAS14NN,second,allDatasets,0.6703280806541443
hnscc,10,NAS14NN,second,justTargetDataset,1.0214729309082031
luad,10,NAS14NN,first,allDatasets,0.8410778045654297
luad,10,NAS14NN,first,justTargetDataset,1.2378650903701782
luad,10,NAS14NN,second,allDatasets,0.7349982857704163
ov,10,NAS14NN,first,allDatasets,1.0785226821899414
ov,10,NAS14NN,first,justTargetDataset,1.5460809469223022
pdac,10,NAS14NN,first,allDatasets,4.912847995758057
pdac,10,NAS14NN,first,justTargetDataset,4.454217433929443
pdac,10,NAS14NN,second,allDatasets,1.3396626710891724
pdac,10,NAS14NN,second,justTargetDataset,1.6436843872070312
all,10,NAS14NN,first,allDatasets,1.3029675483703613
all,10,NAS14NN,first,justTargetDataset,1.303980827331543
all,10,NAS14NN,second,allDatasets,1.1094657182693481
all,10,NAS14NN,second,justTargetDataset,1.10799241065979
brca,11,NAS14NN,first,allDatasets,0.833110511302948
brca,11,NAS14NN,first,justTargetDataset,1.2222518920898438
brca,11,NAS14NN,second,allDatasets,0.8009606003761292
brca,11,NAS14NN,second,justTargetDataset,1.1835119724273682
coad,11,NAS14NN,first,allDatasets,2.0543739795684814
coad,11,NAS14NN,first,justTargetDataset,2.2329933643341064
coad,11,NAS14NN,second,allDatasets,1.539472222328186
coad,11,NAS14NN,second,justTargetDataset,1.827904224395752
gbm,11,NAS14NN,first,allDatasets,0.8001365065574646
gbm,11,NAS14NN,first,justTargetDataset,1.2176908254623413
gbm,11,NAS14NN,second,allDatasets,0.32008790969848633
gbm,11,NAS14NN,second,justTargetDataset,1.2983113527297974
lscc,11,NAS14NN,first,allDatasets,0.6139176487922668
lscc,11,NAS14NN,first,justTargetDataset,1.0235992670059204
lscc,11,NAS14NN,second,allDatasets,0.8945853114128113
lscc,11,NAS14NN,second,justTargetDataset,1.6674110889434814
luad,11,NAS14NN,first,allDatasets,0.9612407088279724
luad,11,NAS14NN,first,justTargetDataset,1.2917379140853882
luad,11,NAS14NN,second,allDatasets,0.5869940519332886
luad,11,NAS14NN,second,justTargetDataset,0.9719408750534058
pdac,11,NAS14NN,first,allDatasets,1.408277153968811
pdac,11,NAS14NN,first,justTargetDataset,1.670717477798462
pdac,11,NAS14NN,second,allDatasets,1.5778108835220337
pdac,11,NAS14NN,second,justTargetDataset,1.7703498601913452
all,11,NAS14NN,first,allDatasets,0.9860043525695801
all,11,NAS14NN,first,justTargetDataset,0.9854289889335632
all,11,NAS14NN,second,allDatasets,1.0637480020523071
all,11,NAS14NN,second,justTargetDataset,1.0632563829421997
ccrcc,12,NAS14NN,first,allDatasets,0.6975365877151489
ccrcc,12,NAS14NN,first,justTargetDataset,1.0116853713989258
ccrcc,12,NAS14NN,second,allDatasets,0.6429382562637329
ccrcc,12,NAS14NN,second,justTargetDataset,1.4079434871673584
coad,12,NAS14NN,first,allDatasets,8.694791793823242
coad,12,NAS14NN,first,justTargetDataset,8.399298667907715
coad,12,NAS14NN,second,allDatasets,1.6747207641601562
coad,12,NAS14NN,second,justTargetDataset,1.9282984733581543
gbm,12,NAS14NN,first,allDatasets,0.7612167596817017
gbm,12,NAS14NN,first,justTargetDataset,1.1449884176254272
gbm,12,NAS14NN,second,allDatasets,0.8795494437217712
gbm,12,NAS14NN,second,justTargetDataset,1.3402475118637085
hnscc,12,NAS14NN,first,allDatasets,0.6504628658294678
hnscc,12,NAS14NN,first,justTargetDataset,1.0501773357391357
hnscc,12,NAS14NN,second,allDatasets,0.7410892248153687
hnscc,12,NAS14NN,second,justTargetDataset,1.1072887182235718
lscc,12,NAS14NN,first,allDatasets,0.5479940176010132
lscc,12,NAS14NN,first,justTargetDataset,0.915898323059082
lscc,12,NAS14NN,second,allDatasets,0.5727556943893433
lscc,12,NAS14NN,second,justTargetDataset,0.9924255609512329
luad,12,NAS14NN,first,allDatasets,0.7578262686729431
luad,12,NAS14NN,first,justTargetDataset,1.1632418632507324
luad,12,NAS14NN,second,allDatasets,0.7817604541778564
luad,12,NAS14NN,second,justTargetDataset,1.1532609462738037
ov,12,NAS14NN,first,allDatasets,0.9353852272033691
ov,12,NAS14NN,first,justTargetDataset,1.3535271883010864
ov,12,NAS14NN,second,allDatasets,1.078195333480835
ov,12,NAS14NN,second,justTargetDataset,1.553468942642212
all,12,NAS14NN,first,allDatasets,1.617177963256836
all,12,NAS14NN,first,justTargetDataset,1.6149410009384155
all,12,NAS14NN,second,allDatasets,0.8842454552650452
all,12,NAS14NN,second,justTargetDataset,0.8852836489677429
brca,13,NAS14NN,first,allDatasets,0.9946379065513611
brca,13,NAS14NN,first,justTargetDataset,1.5777091979980469
brca,13,NAS14NN,second,allDatasets,0.9331567287445068
brca,13,NAS14NN,second,justTargetDataset,1.2989896535873413
ccrcc,13,NAS14NN,first,allDatasets,1.6935621500015259
ccrcc,13,NAS14NN,first,justTargetDataset,1.8890103101730347
ccrcc,13,NAS14NN,second,allDatasets,0.9411306977272034
ccrcc,13,NAS14NN,second,justTargetDataset,1.3345873355865479
coad,13,NAS14NN,first,allDatasets,3.6193227767944336
gbm,13,NAS14NN,first,allDatasets,0.8984805345535278
gbm,13,NAS14NN,first,justTargetDataset,1.4134242534637451
gbm,13,NAS14NN,second,allDatasets,0.8423672318458557
gbm,13,NAS14NN,second,justTargetDataset,1.2622795104980469
hnscc,13,NAS14NN,first,allDatasets,0.6998947858810425
hnscc,13,NAS14NN,first,justTargetDataset,1.1385217905044556
hnscc,13,NAS14NN,second,allDatasets,0.7517233490943909
hnscc,13,NAS14NN,second,justTargetDataset,1.1299631595611572
lscc,13,NAS14NN,first,allDatasets,0.5448980927467346
lscc,13,NAS14NN,first,justTargetDataset,0.9275104999542236
lscc,13,NAS14NN,second,allDatasets,0.6053624749183655
lscc,13,NAS14NN,second,justTargetDataset,1.0620009899139404
luad,13,NAS14NN,first,allDatasets,0.7639060616493225
luad,13,NAS14NN,first,justTargetDataset,1.1179769039154053
luad,13,NAS14NN,second,allDatasets,0.7806734442710876
luad,13,NAS14NN,second,justTargetDataset,1.1421903371810913
ov,13,NAS14NN,first,allDatasets,1.657520055770874
ov,13,NAS14NN,first,justTargetDataset,2.11336088180542
ov,13,NAS14NN,second,allDatasets,1.099604606628418
ov,13,NAS14NN,second,justTargetDataset,1.5859586000442505
pdac,13,NAS14NN,first,allDatasets,1.1551451683044434
pdac,13,NAS14NN,first,justTargetDataset,1.5970724821090698
